Industry,Event,Date,Industry_Return,Market_Return,Expected_Return,Abnormal_Return
Automotive,Covid 19 Pandemic Lockdown in CN,01/24/2020,-0.0170122803149487,0.0103665072142566,0.0115131154523284,-0.028525395767277098
Automotive,Covid 19 Pandemic Lockdown in CN,01/27/2020,-0.0279754013657854,-0.0211451607301619,-0.0232487966646952,-0.004726604701090199
Automotive,Covid 19 Pandemic Lockdown in CN,01/28/2020,0.0260976151965681,0.0060740808108628,0.0067779503805602,0.0193196648160079
Automotive,Covid 19 Pandemic Lockdown in CN,01/29/2020,-0.0249584252813304,0.0016749976102055,0.0019251274869434,-0.0268835527682738
Automotive,Covid 19 Pandemic Lockdown in CN,01/30/2020,-0.0182837810117639,-0.0082490851634915,-0.009022566358708,-0.009261214653055901
Automotive,Covid 19 Pandemic Lockdown in CN,01/31/2020,0.2386392033998516,-0.0069698048507845,-0.0076113357668587,0.2462505391667103
Automotive,Covid 19 Pandemic Lockdown in CN,02/03/2020,-0.045308769510246,0.0008229664258518,0.0009852142711876,-0.046293983781433595
Automotive,Covid 19 Pandemic Lockdown in CN,02/04/2020,-0.0377992803860776,0.0131846941694222,0.0146219819026097,-0.0524212622886873
Automotive,Covid 19 Pandemic Lockdown in CN,02/05/2020,-0.012658158415826,0.0037360066005729,0.0041987174956322,-0.0168568759114582
Automotive,Covid 19 Pandemic Lockdown in CN,02/06/2020,0.0278515074545928,0.0024581965903809,0.0027891088593995,0.025062398595193297
Automotive,Covid 19 Pandemic Lockdown in CN,02/07/2020,-0.0309678575064691,-0.003411669643039,-0.0036861997312067,-0.0272816577752624
Automotive,Covid 19 Pandemic Lockdown in CN,02/10/2020,0.0039947460677181,-0.0002790788435887,-0.0002305005196905,0.004225246587408599
Automotive,Covid 19 Pandemic Lockdown in CN,02/11/2020,0.0389036083696243,0.0071045029474119,0.0079146545314587,0.030988953838165603
Automotive,Covid 19 Pandemic Lockdown in CN,02/12/2020,-0.0229788106164743,0.0068141919985216,0.0075943997068098,-0.0305732103232841
Automotive,Covid 19 Pandemic Lockdown in CN,02/13/2020,-0.0413762005167822,-0.0054878569011402,-0.0059765335571374,-0.035399666959644804
Automotive,Covid 19 Pandemic Lockdown in CN,02/14/2020,-0.0417991586849085,0.0053612509357228,0.0059915962745918,-0.0477907549595003
Automotive,Covid 19 Pandemic Lockdown in CN,02/17/2020,0.0675674459655237,0.0016613587144607,0.0019100818189042,0.0656573641466195
Automotive,Covid 19 Pandemic Lockdown in CN,02/18/2020,-0.0437485690593323,-0.0067716826012481,-0.0073927783665028,-0.036355790692829494
Automotive,Covid 19 Pandemic Lockdown in CN,02/19/2020,-0.0227588955622157,0.0079525977639136,0.0088502253660504,-0.0316091209282661
Automotive,Covid 19 Pandemic Lockdown in CN,02/20/2020,0.0049904623320471,0.0007230287009947,0.0008749685547506,0.0041154937772965
