Industry,Event,Date,Industry_Return,Market_Return,Expected_Return
Automotive,Donald Trump Reelection,11/07/2024,0.0169491525423728,0.0092289307851682,0.009891333781373994
Automotive,Donald Trump Reelection,11/08/2024,-0.0200000127156575,-0.0056940983831543,-0.0078071351948671526
Automotive,Donald Trump Reelection,11/11/2024,0.0221088308491197,0.0100204994400372,0.01083012128374666
Automotive,Donald Trump Reelection,11/12/2024,-0.0374376049438477,-0.0142687875479528,-0.017976576563127684
Automotive,Donald Trump Reelection,11/13/2024,-0.0017285821393033,-0.0033582451304776,-0.005036851369830731
Automotive,Donald Trump Reelection,11/14/2024,-0.0025974290195481,0.0080357562565294,0.008476248268897658
Automotive,Donald Trump Reelection,11/15/2024,-0.0234374741299278,-0.002251211828612,-0.003723927946058013
Automotive,Donald Trump Reelection,11/18/2024,-0.0213333468967014,-0.0039654640076481,-0.005757003045349981
Automotive,Donald Trump Reelection,11/19/2024,-0.0336057856450549,0.0015787490381802,0.0008183431181189036
Automotive,Donald Trump Reelection,11/20/2024,-0.0469924805290898,-0.0089486200836395,-0.011666944801807414
Automotive,Donald Trump Reelection,11/21/2024,0.0128204674832426,0.0051914370761474,0.00510293215427284
Automotive,Donald Trump Reelection,11/22/2024,0.0292112959021013,0.0113906615597876,0.012455111189971523
Automotive,Donald Trump Reelection,11/25/2024,0.0633869893195691,0.0081432325251025,0.008603713368882916
Automotive,Donald Trump Reelection,11/26/2024,-0.0400355866451116,-0.0087039830596701,-0.011376809285061714
Automotive,Donald Trump Reelection,11/27/2024,-0.0546802728678723,0.0015995367657963,0.0008429970237134239
Automotive,Donald Trump Reelection,11/28/2024,0.0196078431372548,0.0078246920108884,0.008225929519176224
Automotive,Donald Trump Reelection,11/29/2024,0.0192307692307691,0.0004237784785252,-0.0005514331108197211
Automotive,Donald Trump Reelection,12/02/2024,-0.0094339622641509,-0.0001203566430614,-0.0011967684820542862
Automotive,Donald Trump Reelection,12/03/2024,0.0447618756975447,0.0059511298852459,0.006003915423932609
Automotive,Donald Trump Reelection,12/04/2024,0.0118505295161601,0.005384656085942,0.005332086745602649
Automotive,Donald Trump Reelection,12/05/2024,0.0018017743084881,-0.0001951711732084,-0.001285497293466747
Automotive,Donald Trump Reelection,12/06/2024,-0.0017985337565726,0.0027570170944359,0.002215749797695984
Automotive,Donald Trump Reelection,11/07/2024,0.0169491525423728,0.0092289307851682,0.009891333781373994
Automotive,Donald Trump Reelection,11/08/2024,-0.0200000127156575,-0.0056940983831543,-0.0078071351948671526
Automotive,Donald Trump Reelection,11/11/2024,0.0221088308491197,0.0100204994400372,0.01083012128374666
Automotive,Donald Trump Reelection,11/12/2024,-0.0374376049438477,-0.0142687875479528,-0.017976576563127684
Automotive,Donald Trump Reelection,11/13/2024,-0.0017285821393033,-0.0033582451304776,-0.005036851369830731
Automotive,Donald Trump Reelection,11/14/2024,-0.0025974290195481,0.0080357562565294,0.008476248268897658
Automotive,Donald Trump Reelection,11/15/2024,-0.0234374741299278,-0.002251211828612,-0.003723927946058013
Automotive,Donald Trump Reelection,11/18/2024,-0.0213333468967014,-0.0039654640076481,-0.005757003045349981
Automotive,Donald Trump Reelection,11/19/2024,-0.0336057856450549,0.0015787490381802,0.0008183431181189036
Automotive,Donald Trump Reelection,11/20/2024,-0.0469924805290898,-0.0089486200836395,-0.011666944801807414
Automotive,Donald Trump Reelection,11/21/2024,0.0128204674832426,0.0051914370761474,0.00510293215427284
Automotive,Donald Trump Reelection,11/22/2024,0.0292112959021013,0.0113906615597876,0.012455111189971523
Automotive,Donald Trump Reelection,11/25/2024,0.0633869893195691,0.0081432325251025,0.008603713368882916
Automotive,Donald Trump Reelection,11/26/2024,-0.0400355866451116,-0.0087039830596701,-0.011376809285061714
Automotive,Donald Trump Reelection,11/27/2024,-0.0546802728678723,0.0015995367657963,0.0008429970237134239
