Industry,Event,Date,Industry_Return,Market_Return,Expected_Return
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,02/25/2022,0.0079849534266724,0.0391980019425557,0.04639636486640793
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,02/28/2022,0.0287827096920629,-0.0041658582432071,-0.005176325309701195
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/01/2022,-0.0454312553373185,-0.0171754438316478,-0.0206486408276935
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/02/2022,0.0147888923461363,0.0135603257339838,0.01590544624717052
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/03/2022,-0.0169580372121811,-0.0256676258218336,-0.030748402906595744
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/04/2022,-0.0107817117249716,-0.0347842639191591,-0.04159083137184217
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/07/2022,0.0217983782437045,-0.0039501506018939,-0.004919783956915508
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/08/2022,-0.0085334203204,0.0006609810555715,0.0005642403737825395
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/09/2022,0.014524000819216,0.0325383171520627,0.03847599387315844
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/10/2022,-0.0029162461282398,-0.0127386895807396,-0.015372003752732441
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/11/2022,0.0132944216792412,0.0079587552257014,0.009243491820471997
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/14/2022,0.0338492987160388,0.0052965372332871,0.006077312815284552
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/15/2022,-0.0246193870148241,-0.0024744289549593,-0.003164706457875813
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/16/2022,0.0429353925039646,0.016165669808192,0.01900398503420904
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/17/2022,-0.0002495434728374,0.0128364588323544,0.015044550485433655
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/18/2022,0.0309458089594854,0.0026268927650963,0.0029023014936778338
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/21/2022,-0.0205760400892613,0.0050913211928709,0.005833249135847007
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/22/2022,0.0138407809461338,0.0046087677924897,0.0052593478063833006
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/23/2022,-0.0290103082728864,-0.0021533694324594,-0.002782869988266192
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/24/2022,-0.0118001029646647,0.0009114286516491,0.0008620979958330332
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/25/2022,-0.0246442760265633,0.0021426467323624,0.0023263871145563267
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/28/2022,-0.0065121538210375,-0.0013763536389755,-0.0018587641866234352
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/29/2022,0.0222863483734683,0.0085907730650343,0.009995151383851715
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/30/2022,-0.0130802706929769,0.0055059505493189,0.006326368319573018
Real_Estate_and_Construction,Start of Russia's full on annexation of Ukraine,03/31/2022,-0.0280665809276191,-0.0083258050088581,-0.010123754915252404
